label,n_samples,dim,intra_mean,inter_mean,inter_intra,silhouette,davies_bouldin,run_dir
SURSA: CE,600,384,8.203130722045898,7.907053470611572,0.9639067983351016,0.03623536229133606,3.2247014910708653,G:/My Drive/Dissertation_Thesis/dissertation_runs/2026-07-11_17-49_vit_s16_3200_baseline
REZULTAT: frombase cov25,600,384,7.475374221801758,7.57320499420166,1.0130870735694517,0.052704863250255585,3.0773852986314996,G:/My Drive/Dissertation_Thesis/dissertation_runs/2026-08-07_22-31_vit_s16_sweep_frombase_cov25
SURSA: CE+CL,600,384,3.81427001953125,3.388897657394409,0.8884786971140768,0.026048002764582634,3.3382627069105,G:/My Drive/Dissertation_Thesis/dissertation_runs/2026-07-11_19-45_vit_s16_3200_center_l00005
REZULTAT: fromcenter cov25,600,384,4.095738887786865,3.514817237854004,0.8581643835584541,0.030113471671938896,3.4672278215074477,G:/My Drive/Dissertation_Thesis/dissertation_runs/2026-08-08_01-13_vit_s16_sweep_fromcenter_cov25
